no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,0.0,0.0,0.0,neutral,"['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']","['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']",[]
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temu tani tembakau anggota DPR ini janji kawal selesai RUU tembakau,0.8,0.2,0.447213595499958,positive,"['temu', 'tani', 'tembakau', 'anggota', 'DPR', 'ini', 'janji', 'kawal', 'selesai', 'RUU', 'tembakau']","['temu', 'tembakau', 'anggota', 'DPR', 'kawal', 'selesai', 'RUU', 'tembakau']","['tani', 'ini', 'janji']"
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,-1.6,-0.4,0.8944271909999161,negative,"['sangat', 'free', 'hatin', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']","['free', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']",['hatin']
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,0.2,0.05,0.447213595499958,positive,"['RUU', 'CSR', 'wajib', 'atau', 'sukarela']","['RUU', 'sukarela']","['CSR', 'atau']"
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masuk soal RUU CSR ikibangsaku,0.2,0.05,1.3038404810405295,positive,"['DPR', 'gali', 'masuk', 'soal', 'RUU', 'CSR', 'ikibangsaku']","['DPR', 'masuk', 'soal', 'RUU']","['gali', 'CSR', 'ikibangsaku']"
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana maju ruu_jasa_konstruksi ?,-0.6,-0.15,0.8944271909999159,negative,"['mohon', 'info', 'bagaimana', 'maju', 'ruu_jasa_konstruksi', '?']","['mohon', 'info', 'maju']","['bagaimana', 'ruu_jasa_konstruksi', '?']"
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'at']","['rapat', 'paripurna']",['at']
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan kait pengesahan UU santet lewat,-0.2,-0.05,0.447213595499958,negative,"['reaksi', 'mbah', 'mijan', 'kait', 'pengesahan', 'UU', 'santet', 'lewat']","['reaksi', 'kait', 'pengesahan', 'UU', 'santet', 'lewat']","['mbah', 'mijan']"
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi partai nasdem paling sering bolos,-2.2,-0.55,1.3038404810405295,negative,"['formappi', 'partai', 'nasdem', 'paling', 'sering', 'bolos']","['partai', 'nasdem', 'sering', 'bolos']","['formappi', 'paling']"
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat tetap batas waktu selesai bahas revisi undang undang pemilu RUU,0.8,0.2,0.447213595499958,positive,"['pemerintah', 'dan', 'DPR', 'RI', 'sepakat', 'tetap', 'batas', 'waktu', 'selesai', 'bahas', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']","['pemerintah', 'DPR', 'RI', 'sepakat', 'tetap', 'batas', 'waktu', 'selesai', 'bahas', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']",['dan']
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen cepat bahas RUU,1.0,0.25,0.7071067811865476,positive,"['DPR', 'komitmen', 'cepat', 'bahas', 'RUU']","['DPR', 'komitmen', 'cepat', 'bahas', 'RUU']",[]
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,0.0,0.0,0.0,neutral,"['reses', 'wakil', 'rakyat', 'dapil', 'lampung', 'i', 'ahmad', 'muzani']","['reses', 'wakil', 'rakyat', 'dapil', 'i']","['lampung', 'ahmad', 'muzani']"
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpul kepala desa se kabupaten sumbawa dorong desa mandiri,0.8,0.2,0.447213595499958,positive,"['reses', 'anggota', 'MASIH', 'II', 'tahun', 'sidang', 'bang', 'kumpul', 'kepala', 'desa', 'se', 'kabupaten', 'sumbawa', 'dorong', 'desa', 'mandiri']","['reses', 'anggota', 'MASIH', 'II', 'tahun', 'sidang', 'bang', 'kepala', 'desa', 'kabupaten', 'dorong', 'desa', 'mandiri']","['kumpul', 'se', 'sumbawa']"
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI PARTAI PDIP MARUARAR SIRAIT,0.0,0.0,0.0,neutral,"['RESES', 'ANGGOTA', 'DPR', 'RI', 'PARTAI', 'PDIP', 'MARUARAR', 'SIRAIT']","['RESES', 'ANGGOTA', 'DPR', 'RI', 'PARTAI', 'PDIP']","['MARUARAR', 'SIRAIT']"
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke partai golkar daerah,0.0,0.0,0.0,neutral,"['reses', 'DPR', 'RI', 'harus', 'lapor', 'ke', 'partai', 'golkar', 'daerah']","['reses', 'DPR', 'RI', 'lapor', 'partai', 'golkar', 'daerah']",['ke']
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,sekian kali dewan wakil rakyat daerah DPRD kabupaten gresik gelar rapat paripurna sampai,0.0,0.0,0.0,neutral,"['sekian', 'kali', 'dewan', 'wakil', 'rakyat', 'daerah', 'DPRD', 'kabupaten', 'gresik', 'gelar', 'rapat', 'paripurna', 'sampai']","['dewan', 'wakil', 'rakyat', 'daerah', 'DPRD', 'kabupaten', 'gelar', 'rapat', 'paripurna', 'sampai']","['sekian', 'kali', 'gresik']"
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR target UU buku nnasional rampung komisi kali DPR RI target rancangan undang undang sis RT,0.8,0.2,0.447213595499958,positive,"['DPR', 'target', 'UU', 'buku', 'nnasional', 'rampung', 'komisi', 'kali', 'DPR', 'RI', 'target', 'rancangan', 'undang', 'undang', 'sis', 'RT']","['DPR', 'target', 'UU', 'rampung', 'komisi', 'DPR', 'RI', 'target', 'rancangan', 'undang', 'undang']","['buku', 'nnasional', 'kali', 'sis', 'RT']"
690,2016-10-31T02:44:33.000Z,Untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,untuk tangan sampah perlu perspektif bangsa yang holistik ta hanya oleh mang kebijakan tap,0.0,0.0,0.0,neutral,"['untuk', 'tangan', 'sampah', 'perlu', 'perspektif', 'bangsa', 'yang', 'holistik', 'ta', 'hanya', 'oleh', 'mang', 'kebijakan', 'tap']","['tangan', 'sampah', 'perlu', 'ta', 'hanya', 'kebijakan']","['untuk', 'perspektif', 'bangsa', 'holistik', 'mang', 'tap']"
718,2016-10-29T09:00:10.000Z,Anggota DPR Indra Tersangka Penipuan Rp M MKD Bersikap Usai Reses fath,anggota DPR indra sangka tipu rp sama MKD sikap usai reses fath,-1.6,-0.4,0.8944271909999161,negative,"['anggota', 'DPR', 'indra', 'sangka', 'tipu', 'rp', 'sama', 'MKD', 'sikap', 'usai', 'reses', 'fath']","['anggota', 'DPR', 'sangka', 'tipu', 'rp', 'sama', 'MKD', 'sikap', 'usai', 'reses']","['indra', 'fath']"
745,2016-10-28T09:52:38.000Z,DPR Umumkan Susunan Anggota Pansus RUU Pemilu,DPR umum susun anggota pansus RUU pemilu,0.0,0.0,0.0,neutral,"['DPR', 'umum', 'susun', 'anggota', 'pansus', 'RUU', 'pemilu']","['DPR', 'umum', 'anggota', 'pansus', 'RUU', 'pemilu']",['susun']
786,2016-10-27T11:22:50.000Z,DPR RI Sahkan Revisi RUU ITE,DPR RI sahkan revisi RUU ITE,0.4,0.1,0.5477225575051662,positive,"['DPR', 'RI', 'sahkan', 'revisi', 'RUU', 'ITE']","['DPR', 'RI', 'sahkan', 'revisi', 'RUU', 'ITE']",[]
790,2016-10-27T09:43:16.000Z,Paripurna DPR Sahkan RUU ITE Jadi UU,paripurna DPR sahkan RUU ITE jadi UU,0.6,0.15,0.5477225575051662,positive,"['paripurna', 'DPR', 'sahkan', 'RUU', 'ITE', 'jadi', 'UU']","['paripurna', 'DPR', 'sahkan', 'RUU', 'ITE', 'jadi', 'UU']",[]
825,2016-10-27T02:00:14.000Z,Anggota DPR Tak Hadir Dalam Sidang Paripurna Pengesahan UU APBN Jakarta DPR siang ini menggelar s,anggota DPR tak hadir dalam sidang paripurna pengesahan UU APBN jakarta DPR siang ini gelar si,-2.8,-0.7,0.4472135954999578,negative,"['anggota', 'DPR', 'tak', 'hadir', 'dalam', 'sidang', 'paripurna', 'pengesahan', 'UU', 'APBN', 'jakarta', 'DPR', 'siang', 'ini', 'gelar', 'si']","['anggota', 'DPR', 'hadir', 'dalam', 'sidang', 'paripurna', 'pengesahan', 'UU', 'APBN', 'jakarta', 'DPR', 'gelar']","['tak', 'siang', 'ini', 'si']"
829,2016-10-26T19:56:26.000Z,DPR RI Menyetujui RUU APBN,DPR RI tuju RUU APBN,0.2,0.05,0.447213595499958,positive,"['DPR', 'RI', 'tuju', 'RUU', 'APBN']","['DPR', 'RI', 'tuju', 'RUU', 'APBN']",[]
877,2016-10-26T06:20:26.000Z,Agenda hari ini Rapat Paripurna DPR Ke Masa Persidangan I Tahun Sidang agendaDPR sidangparipurna DPR RI,agenda hari ini rapat paripurna DPR ke masa sidang i tahun sidang agendadpr sidangparipurna DPR RI,0.0,0.0,0.0,neutral,"['agenda', 'hari', 'ini', 'rapat', 'paripurna', 'DPR', 'ke', 'masa', 'sidang', 'i', 'tahun', 'sidang', 'agendadpr', 'sidangparipurna', 'DPR', 'RI']","['agenda', 'hari', 'rapat', 'paripurna', 'DPR', 'masa', 'sidang', 'i', 'tahun', 'sidang', 'agendadpr', 'sidangparipurna', 'DPR', 'RI']","['ini', 'ke']"
879,2016-10-26T05:26:12.000Z,Syarifuddin Suding RUU Pemilu Akan Digiring ke Pemilu Sistem Proporsional Tertutup,syarifuddin suding RUU pemilu akan giring ke pemilu sistem proporsional tutup,0.0,0.0,0.0,neutral,"['syarifuddin', 'suding', 'RUU', 'pemilu', 'akan', 'giring', 'ke', 'pemilu', 'sistem', 'proporsional', 'tutup']","['RUU', 'pemilu', 'pemilu', 'sistem', 'tutup']","['syarifuddin', 'suding', 'akan', 'giring', 'ke', 'proporsional']"
1003,2016-10-20T10:03:32.000Z,Wakil Ketua DPR RI Agus Hermanto mendorong pemerintah segera menyerahkan draf Rancangan Undang Undang RUU P,wakil ketua DPR RI agus hermanto dorong pemerintah segera serah draf rancangan undang undang RUU p,0.8,0.2,0.447213595499958,positive,"['wakil', 'ketua', 'DPR', 'RI', 'agus', 'hermanto', 'dorong', 'pemerintah', 'segera', 'serah', 'draf', 'rancangan', 'undang', 'undang', 'RUU', 'p']","['wakil', 'ketua', 'DPR', 'RI', 'dorong', 'pemerintah', 'segera', 'serah', 'draf', 'rancangan', 'undang', 'undang', 'RUU']","['agus', 'hermanto', 'p']"
1032,2016-10-19T16:29:23.000Z,Usai Reses Ruhut Mundur sebagai Anggota DPR RI,usai reses ruhut mundur bagai anggota DPR RI,-0.2,-0.05,0.447213595499958,negative,"['usai', 'reses', 'ruhut', 'mundur', 'bagai', 'anggota', 'DPR', 'RI']","['usai', 'reses', 'mundur', 'anggota', 'DPR', 'RI']","['ruhut', 'bagai']"
1033,2016-10-19T15:20:37.000Z,Terimakasih Indonesia Sahkan Paris Agreement Jadi Undang Undang,terimakasih indonesia sahkan paris agreement jadi undang undang,1.4,0.35,0.5477225575051661,positive,"['terimakasih', 'indonesia', 'sahkan', 'paris', 'agreement', 'jadi', 'undang', 'undang']","['terimakasih', 'indonesia', 'sahkan', 'jadi', 'undang', 'undang']","['paris', 'agreement']"
1121,2016-10-14T09:16:22.000Z,Panja RUU Sistem Perbukuan Identifikasi Masalah Utama,panja RUU sistem buku identifikasi masalah utama,0.2,0.05,0.447213595499958,positive,"['panja', 'RUU', 'sistem', 'buku', 'identifikasi', 'masalah', 'utama']","['panja', 'RUU', 'sistem', 'identifikasi', 'masalah']","['buku', 'utama']"
1155,2016-10-13T01:49:36.000Z,DPR Sahkan UU Pelaksanaan Hukuman Kebiri JAKARTA SK Pihak DPR RI akhirnya mengesahkan undang undang UU,DPR sahkan UU laksana hukum kebiri JAKARTA SUKA pihak DPR RI akhir pengesahan undang undang UU,0.4,0.1,0.5477225575051662,positive,"['DPR', 'sahkan', 'UU', 'laksana', 'hukum', 'kebiri', 'JAKARTA', 'SUKA', 'pihak', 'DPR', 'RI', 'akhir', 'pengesahan', 'undang', 'undang', 'UU']","['DPR', 'sahkan', 'UU', 'hukum', 'kebiri', 'JAKARTA', 'SUKA', 'pihak', 'DPR', 'RI', 'akhir', 'pengesahan', 'undang', 'undang', 'UU']",['laksana']
1223,2016-10-12T02:40:42.000Z,DPR Kembali Bahas UU Perppu di Rapat Paripurna Dewan Perwakilan Rakyat DPR,DPR kembali bahas UU perppu di rapat paripurna dewan wakil rakyat DPR,0.0,0.0,0.0,neutral,"['DPR', 'kembali', 'bahas', 'UU', 'perppu', 'di', 'rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'DPR']","['DPR', 'bahas', 'UU', 'perppu', 'rapat', 'paripurna', 'dewan', 'wakil', 'rakyat', 'DPR']","['kembali', 'di']"
1232,2016-10-11T09:38:26.000Z,Rapat juga menyetujui perpanjangan waktu pembahasan Pansus RUU PPILN sampai dengan Masa Persidangan II Tahun Sidang,rapat juga tuju panjang waktu bahas pansus RUU PPILN sampai dengan masa sidang II tahun sidang,-0.4,-0.1,0.5477225575051662,negative,"['rapat', 'juga', 'tuju', 'panjang', 'waktu', 'bahas', 'pansus', 'RUU', 'PPILN', 'sampai', 'dengan', 'masa', 'sidang', 'II', 'tahun', 'sidang']","['rapat', 'tuju', 'panjang', 'waktu', 'bahas', 'pansus', 'RUU', 'sampai', 'masa', 'sidang', 'II', 'tahun', 'sidang']","['juga', 'PPILN', 'dengan']"
1260,2016-10-10T13:03:13.000Z,KabaKampuang Fraksi Partai Kebangkitan Bangsa di DPR RI akan mengusulkan RUU Pendidikan Madrasah dan Pondok Pesan,kabakampuang partai partai bangkit bangsa di DPR RI akan usul RUU didik madrasah dan pondok pesan,0.8,0.2,0.447213595499958,positive,"['kabakampuang', 'partai', 'partai', 'bangkit', 'bangsa', 'di', 'DPR', 'RI', 'akan', 'usul', 'RUU', 'didik', 'madrasah', 'dan', 'pondok', 'pesan']","['partai', 'partai', 'bangkit', 'DPR', 'RI', 'usul', 'RUU', 'didik', 'pesan']","['kabakampuang', 'bangsa', 'di', 'akan', 'madrasah', 'dan', 'pondok']"
1279,2016-10-09T23:07:21.000Z,Dewan Perwakilan Rakyat DPR meminta aturan turunan dari Undang Undang UU No Tahun tentang Pendidikan,dewan wakil rakyat DPR minta pengaturan turun dari undang undang UU no tahun tentang didik,0.2,0.05,0.447213595499958,positive,"['dewan', 'wakil', 'rakyat', 'DPR', 'minta', 'pengaturan', 'turun', 'dari', 'undang', 'undang', 'UU', 'no', 'tahun', 'tentang', 'didik']","['dewan', 'wakil', 'rakyat', 'DPR', 'minta', 'pengaturan', 'turun', 'undang', 'undang', 'UU', 'tahun', 'tentang', 'didik']",['no']
1282,2016-10-08T20:03:18.000Z,DPR bebas visa disalahgunakan jatim rugi Rp triliun Komisi III DPR RI menemukan penyalahgunaan kebijakan bebas,DPR bebas visa disalahgunakan jatim rugi rp triliun komisi II DPR RI temu penyalahgunaan kebijakan bebas,-1.4,-0.35,0.8944271909999159,negative,"['DPR', 'bebas', 'visa', 'disalahgunakan', 'jatim', 'rugi', 'rp', 'triliun', 'komisi', 'II', 'DPR', 'RI', 'temu', 'penyalahgunaan', 'kebijakan', 'bebas']","['DPR', 'bebas', 'visa', 'disalahgunakan', 'rugi', 'rp', 'triliun', 'komisi', 'II', 'DPR', 'RI', 'temu', 'penyalahgunaan', 'kebijakan', 'bebas']",['jatim']
1290,2016-10-07T00:54:12.000Z,Anggota DPR Apresiasi Penghentian Kebijakan Plastik Berbayar,anggota DPR apresiasi henti kebijakan plastik bayar,0.8,0.2,0.447213595499958,positive,"['anggota', 'DPR', 'apresiasi', 'henti', 'kebijakan', 'plastik', 'bayar']","['anggota', 'DPR', 'apresiasi', 'henti', 'kebijakan', 'bayar']",['plastik']
1327,2016-10-05T17:45:55.000Z,DPR dukung undang undang khusus tentang Antara Anggota Komisi I DPR RI yang juga pernah menjadi pemimpin reda,DPR dukungan undang undang khusus tentang antara anggota komisi i DPR RI yang juga pernah jadi kepemimpinan reda,0.8,0.2,0.447213595499958,positive,"['DPR', 'dukungan', 'undang', 'undang', 'khusus', 'tentang', 'antara', 'anggota', 'komisi', 'i', 'DPR', 'RI', 'yang', 'juga', 'pernah', 'jadi', 'kepemimpinan', 'reda']","['DPR', 'dukungan', 'undang', 'undang', 'tentang', 'anggota', 'komisi', 'i', 'DPR', 'RI', 'jadi', 'kepemimpinan']","['khusus', 'antara', 'juga', 'pernah', 'reda']"
1406,2016-09-28T05:14:03.000Z,Komisi II DPR RI Siap Bahas Pasal RUU Pemilu,komisi II DPR RI siap bahas pasal RUU pemilu,0.2,0.05,0.447213595499958,positive,"['komisi', 'II', 'DPR', 'RI', 'siap', 'bahas', 'pasal', 'RUU', 'pemilu']","['komisi', 'II', 'DPR', 'RI', 'siap', 'bahas', 'pasal', 'RUU', 'pemilu']",[]
1412,2016-09-27T23:57:38.000Z,hukumOnline Jika RUU Jabatan Hakim Disahkan Hakim Bukan Monopoli MA Dewan Perwakilan Rakyat DPR menjad,hukumonline jika RUU jabatan hakim sah hakim bukan monopoli SAMA dewan wakil rakyat DPR menjad,0.0,0.0,0.0,neutral,"['hukumonline', 'jika', 'RUU', 'jabatan', 'hakim', 'sah', 'hakim', 'bukan', 'monopoli', 'SAMA', 'dewan', 'wakil', 'rakyat', 'DPR', 'menjad']","['RUU', 'jabatan', 'hakim', 'hakim', 'monopoli', 'SAMA', 'dewan', 'wakil', 'rakyat', 'DPR']","['hukumonline', 'jika', 'sah', 'menjad']"
1449,2016-09-22T07:22:19.000Z,Tribun Rieke Diah Pitaloka Undang Undang Tax Amnesty Jangan Menakuti Pengusaha NewsToday DKK,tribun rieke diah pitaloka undang undang tax amnesty jangan takut usaha newstoday DKK,0.0,0.0,0.0,neutral,"['tribun', 'rieke', 'diah', 'pitaloka', 'undang', 'undang', 'tax', 'amnesty', 'jangan', 'takut', 'usaha', 'newstoday', 'DKK']","['tribun', 'undang', 'undang', 'tax', 'amnesty', 'takut', 'usaha']","['rieke', 'diah', 'pitaloka', 'newstoday', 'DKK']"
1482,2016-09-20T07:07:10.000Z,Cari Masukan RUU Karantina Hewan Ikan dan Tumbuhan Komisi IV DPR RI Gelar FGD di Undip,cari masuk RUU karantina hewan ikan dan tumbuh komisi IV DPR RI gelar FGD di undip,0.8,0.2,0.447213595499958,positive,"['cari', 'masuk', 'RUU', 'karantina', 'hewan', 'ikan', 'dan', 'tumbuh', 'komisi', 'IV', 'DPR', 'RI', 'gelar', 'FGD', 'di', 'undip']","['cari', 'masuk', 'RUU', 'karantina', 'komisi', 'IV', 'DPR', 'RI', 'gelar', 'FGD']","['hewan', 'ikan', 'dan', 'tumbuh', 'di', 'undip']"
1514,2016-09-15T08:20:44.000Z,Berlanjut Baleg DPR RI Bahas DIM RUU Kekarantinaan Kesehatan,lanjut baleg DPR RI bahas DIM RUU karantina sehat,0.0,0.0,0.0,neutral,"['lanjut', 'baleg', 'DPR', 'RI', 'bahas', 'DIM', 'RUU', 'karantina', 'sehat']","['lanjut', 'baleg', 'DPR', 'RI', 'bahas', 'RUU', 'karantina', 'sehat']",['DIM']
1567,2016-09-10T12:33:07.000Z,Anggota DPR RUU ITE mengacu putusan MK Indonesia,anggota DPR RUU ITE acu keputusan MAKA indonesia,0.0,0.0,0.0,neutral,"['anggota', 'DPR', 'RUU', 'ITE', 'acu', 'keputusan', 'MAKA', 'indonesia']","['anggota', 'DPR', 'RUU', 'ITE', 'acu', 'keputusan', 'indonesia']",['MAKA']
1569,2016-09-10T12:32:44.000Z,Anggota DPR RUU ITE mengacu putusan MK politik,anggota DPR RUU ITE acu keputusan MAKA politik,-0.4,-0.1,0.5477225575051662,negative,"['anggota', 'DPR', 'RUU', 'ITE', 'acu', 'keputusan', 'MAKA', 'politik']","['anggota', 'DPR', 'RUU', 'ITE', 'acu', 'keputusan', 'politik']",['MAKA']
