no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category,tokens,matched_words,unmatched_words,filtered_tokens,filtered_word_scores
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,0.0,0.0,0.0,neutral,"['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']","['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']",[],"['agenda', 'DPR', 'rabu', 'pukul', 'WIB', 'rapat', 'paripurna', 'DPR', 'RI', 'agendadpr']","[{'word': 'agenda', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'rabu', 'score': 0.0, 'matched': True}, {'word': 'pukul', 'score': 0.8, 'matched': True}, {'word': 'WIB', 'score': 0.0, 'matched': True}, {'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'agendadpr', 'score': 0.0, 'matched': True}]"
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temu tani tembakau anggota DPR ini janji kawal selesai RUU tembakau,0.8,0.2,0.447213595499958,positive,"['temu', 'tani', 'tembakau', 'anggota', 'DPR', 'ini', 'janji', 'kawal', 'selesai', 'RUU', 'tembakau']","['temu', 'tembakau', 'anggota', 'DPR', 'kawal', 'selesai', 'RUU', 'tembakau']","['tani', 'ini', 'janji']","['temu', 'tani', 'tembakau', 'anggota', 'DPR', 'ini', 'janji', 'kawal', 'selesai', 'RUU', 'tembakau']","[{'word': 'temu', 'score': 1.6, 'matched': True}, {'word': 'tani', 'score': 0.0, 'matched': False}, {'word': 'tembakau', 'score': 0.0, 'matched': True}, {'word': 'anggota', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'ini', 'score': 0.0, 'matched': False}, {'word': 'janji', 'score': 0.0, 'matched': False}, {'word': 'kawal', 'score': 0.8, 'matched': True}, {'word': 'selesai', 'score': 1.6, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'tembakau', 'score': 0.0, 'matched': True}]"
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,-1.6,-0.4,0.8944271909999161,negative,"['sangat', 'free', 'hatin', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']","['sangat', 'free', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']",['hatin'],"['sangat', 'free', 'hatin', 'ruang', 'rapat', 'paripurna', 'DPR', 'RI']","[{'word': 'sangat', 'score': 0.0, 'matched': True}, {'word': 'free', 'score': 2.4000000000000004, 'matched': True}, {'word': 'hatin', 'score': 0.0, 'matched': False}, {'word': 'ruang', 'score': -2.4000000000000004, 'matched': True}, {'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}]"
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,0.2,0.05,0.447213595499958,positive,"['RUU', 'CSR', 'wajib', 'atau', 'sukarela']","['RUU', 'wajib', 'sukarela']","['CSR', 'atau']","['RUU', 'CSR', 'wajib', 'atau', 'sukarela']","[{'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'CSR', 'score': 0.0, 'matched': False}, {'word': 'wajib', 'score': -1.6, 'matched': True}, {'word': 'atau', 'score': 0.0, 'matched': False}, {'word': 'sukarela', 'score': 3.2, 'matched': True}]"
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masuk soal RUU CSR ikibangsaku,0.2,0.05,1.3038404810405295,positive,"['DPR', 'gali', 'masuk', 'soal', 'RUU', 'CSR', 'ikibangsaku']","['DPR', 'masuk', 'soal', 'RUU']","['gali', 'CSR', 'ikibangsaku']","['DPR', 'gali', 'masuk', 'soal', 'RUU', 'CSR', 'ikibangsaku']","[{'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'gali', 'score': 0.0, 'matched': False}, {'word': 'masuk', 'score': 0.0, 'matched': True}, {'word': 'soal', 'score': -0.8, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}, {'word': 'CSR', 'score': 0.0, 'matched': False}, {'word': 'ikibangsaku', 'score': 0.0, 'matched': False}]"
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana maju ruu_jasa_konstruksi ?,-0.6,-0.15,0.8944271909999159,negative,"['mohon', 'info', 'bagaimana', 'maju', 'ruu_jasa_konstruksi', '?']","['mohon', 'info', 'maju']","['bagaimana', 'ruu_jasa_konstruksi', '?']","['mohon', 'info', 'bagaimana', 'maju', 'ruu_jasa_konstruksi', '?']","[{'word': 'mohon', 'score': 1.6, 'matched': True}, {'word': 'info', 'score': 0.0, 'matched': True}, {'word': 'bagaimana', 'score': 0.0, 'matched': False}, {'word': 'maju', 'score': 0.8, 'matched': True}, {'word': 'ruu_jasa_konstruksi', 'score': 0.0, 'matched': False}, {'word': '?', 'score': 0.0, 'matched': False}]"
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,0.0,0.0,0.0,neutral,"['rapat', 'paripurna', 'at']","['rapat', 'paripurna']",['at'],"['rapat', 'paripurna', 'at']","[{'word': 'rapat', 'score': 0.0, 'matched': True}, {'word': 'paripurna', 'score': 0.0, 'matched': True}, {'word': 'at', 'score': 0.0, 'matched': False}]"
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan kait pengesahan UU santet lewat,-0.2,-0.05,0.447213595499958,negative,"['reaksi', 'mbah', 'mijan', 'kait', 'pengesahan', 'UU', 'santet', 'lewat']","['reaksi', 'kait', 'pengesahan', 'UU', 'santet', 'lewat']","['mbah', 'mijan']","['reaksi', 'mbah', 'mijan', 'kait', 'pengesahan', 'UU', 'santet', 'lewat']","[{'word': 'reaksi', 'score': 1.6, 'matched': True}, {'word': 'mbah', 'score': 0.0, 'matched': False}, {'word': 'mijan', 'score': 0.0, 'matched': False}, {'word': 'kait', 'score': 0.8, 'matched': True}, {'word': 'pengesahan', 'score': 0.0, 'matched': True}, {'word': 'UU', 'score': 0.0, 'matched': True}, {'word': 'santet', 'score': -4.0, 'matched': True}, {'word': 'lewat', 'score': 1.6, 'matched': True}]"
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi partai nasdem paling sering bolos,-2.2,-0.55,1.3038404810405295,negative,"['formappi', 'partai', 'nasdem', 'paling', 'sering', 'bolos']","['partai', 'nasdem', 'sering', 'bolos']","['formappi', 'paling']","['formappi', 'partai', 'nasdem', 'paling', 'sering', 'bolos']","[{'word': 'formappi', 'score': 0.0, 'matched': False}, {'word': 'partai', 'score': 0.0, 'matched': True}, {'word': 'nasdem', 'score': 0.0, 'matched': True}, {'word': 'paling', 'score': 0.0, 'matched': False}, {'word': 'sering', 'score': 2.4000000000000004, 'matched': True}, {'word': 'bolos', 'score': -2.0, 'matched': True}]"
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat tetap batas waktu selesai bahas revisi undang undang pemilu RUU,0.8,0.2,0.447213595499958,positive,"['pemerintah', 'dan', 'DPR', 'RI', 'sepakat', 'tetap', 'batas', 'waktu', 'selesai', 'bahas', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']","['pemerintah', 'DPR', 'RI', 'sepakat', 'tetap', 'batas', 'waktu', 'selesai', 'bahas', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']",['dan'],"['pemerintah', 'dan', 'DPR', 'RI', 'sepakat', 'tetap', 'batas', 'waktu', 'selesai', 'bahas', 'revisi', 'undang', 'undang', 'pemilu', 'RUU']","[{'word': 'pemerintah', 'score': 0.0, 'matched': True}, {'word': 'dan', 'score': 0.0, 'matched': False}, {'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'RI', 'score': 0.0, 'matched': True}, {'word': 'sepakat', 'score': 0.6400000000000001, 'matched': True}, {'word': 'tetap', 'score': 2.4000000000000004, 'matched': True}, {'word': 'batas', 'score': -2.4000000000000004, 'matched': True}, {'word': 'waktu', 'score': 0.0, 'matched': True}, {'word': 'selesai', 'score': 1.6, 'matched': True}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'revisi', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'undang', 'score': 0.0, 'matched': True}, {'word': 'pemilu', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}]"
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen cepat bahas RUU,1.0,0.25,0.7071067811865476,positive,"['DPR', 'komitmen', 'cepat', 'bahas', 'RUU']","['DPR', 'komitmen', 'cepat', 'bahas', 'RUU']",[],"['DPR', 'komitmen', 'cepat', 'bahas', 'RUU']","[{'word': 'DPR', 'score': 0.0, 'matched': True}, {'word': 'komitmen', 'score': 0.6400000000000001, 'matched': True}, {'word': 'cepat', 'score': 2.4000000000000004, 'matched': True}, {'word': 'bahas', 'score': 0.0, 'matched': True}, {'word': 'RUU', 'score': 0.0, 'matched': True}]"
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,0.0,0.0,0.0,neutral,"['reses', 'wakil', 'rakyat', 'dapil', 'lampung', 'i', 'ahmad', 'muzani']","['reses', 'wakil', 'rakyat', 'dapil', 'i']","['lampung', 'ahmad', 'muzani']","['reses', 'wakil', 'rakyat', 'dapil', 'lampung', 'i', 'ahmad', 'muzani']","[{'word': 'reses', 'score': 0.0, 'matched': True}, {'word': 'wakil', 'score': 0.0, 'matched': True}, {'word': 'rakyat', 'score': 0.0, 'matched': True}, {'word': 'dapil', 'score': 0.0, 'matched': True}, {'word': 'lampung', 'score': 0.0, 'matched': False}, {'word': 'i', 'score': 0.0, 'matched': True}, {'word': 'ahmad', 'score': 0.0, 'matched': False}, {'word': 'muzani', 'score': 0.0, 'matched': False}]"
