no,timestamp,teks,teks_processed,compound_score,sentiment,confidence_level,ground_truth,notes
2847,2016-06-19T22:41:46.000Z,tidak harus menjadi anggota untuk ikut mensahkan RUU palang merah dan jomblopun bisa mensahkan UU Pologami,tidak harus jadi anggota untuk ikut sah RUU palang merah dan jomblopun bisa sah UU pologami,0.2949688803310317,positive,moderate,negative,"walaupun tidak ada kata kasar atau  perkataan buruk secara langsung, tweet ini terbaca seperti sarkasme, membandingkan hal yang tidak relevan yaitu jomlo vs UU"
11857,2021-12-22T03:10:33.000Z,Puan Maharani menyatakan DPR RI akan mendorong pemerintah untuk lebih memperhatikan masyarakat di pengungsian dan masa pemulihan ke depannya DPRuntukNegeri terus mendengar aspirasi rakyat,puan maharani nyata DPR RI akan dorong perintah untuk lebih perhati masyarakat di ungsi dan masa pulih ke depan dpruntuknegeri terus dengar aspirasi rakyat,0.1845283661215829,positive,moderate,positive,ada narasi kebaikan yaitu peduli rakyat
11676,2021-12-30T03:45:34.000Z,Dalam rangka meninjau perkembangan pelaksanaan pembangunan ibu kota negara di Provinsi Kalimantan Timur Ditjen Pengelolaan Ruang Laut mendampingi Komisi IV DPR RI melaksanakan kunjungan kerja reses masa sidang II tahun sidang pada lalu KKPAccelerate,dalam rangka tinjau kembang laksana bangun ibu kota negara di provinsi kalimantan timur ditjen kelola ruang laut damping komisi IV DPR RI laksana kunjung kerja reses masa sidang II tahun sidang pada lalu kkpaccelerate,0.1036266604663404,positive,ambiguous,neutral,publikasi agenda
5262,2017-10-03T02:07:40.000Z,Agenda DPR Selasa Pukul WIB Baleg DPR RDPU dengan PP Muhammadiyah terkait RUU Migas agendaDPR,agenda DPR selasa pukul WIB baleg DPR RDPU dengan PP muhammadiyah kait RUU migas agendadpr,0.0798297691111313,positive,ambiguous,neutral,publikasi agenda
12349,2023-12-11T06:29:21.000Z,Revisi kedua atas Undang Undang Nomor Tahun tentang Informasi dan Transaksi Elektronik UU ITE yang disetujui bersama DPR RI dan Pemerintah untuk disahkan menjadi UU pada Desember lalu masih berpotensi mengancam kemerdekaan pers dan kemerd,revisi dua atas undang undang nomor tahun tentang informasi dan transaksi elektronik UU ITE yang tuju sama DPR RI dan perintah untuk sah jadi UU pada desember lalu masih potensi ancam merdeka pers dan kemerd,0.0942647491844731,positive,ambiguous,negative,"ada kata evaluatif, kritik terhadap kebijakan"
11256,2020-12-21T17:30:08.000Z,Halo SobATRBPNKaltimtara Pada Hari Senin lalu telah dilaksanakan Kunjungan Kerja Kerja Komisi II DPR RI dalam rangka Reses Masa Persidangan Tahun Sidang ke Provinsi Kalimantan Timur,halo sobatrbpnkaltimtara pada hari senin lalu telah laksana kunjung kerja kerja komisi II DPR RI dalam rangka reses masa sidang tahun sidang ke provinsi kalimantan timur,0.1586485042974989,positive,moderate,neutral,hanya publikasi agenda
9279,2018-11-07T12:02:32.000Z,GITU MAU DI BUBARKAN SAMA ANGGOTA WONG ADA AJA BANYAK PEJABAT YG KORUPTOR APA LAGI GAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUMAN MATI BAGI TERSANGKA KORUPTOR,BEGITU MAU DI BUBAR SAMA ANGGOTA WONG ADA SAJA BANYAK JABAT YANG KORUPTOR APA LAGI ENGGAK ADA MAU indonesia JADI SARANG KORUPTOR APA BUAT RUU HUKUM MATI BAGI SANGKA KORUPTOR,0.2241296741321228,positive,moderate,negative,"woww, ini sangat negatif sih, ada ujaran kebencian juga secara tersirat"
4542,2017-11-29T14:26:13.000Z,Panitia Kerja DPR RI Uji Publik RUU Kepalangmerahan di PMI Jateng,panitia kerja DPR RI uji publik RUU kepalangmerahan di PMI jateng,0.1586485042974989,positive,moderate,neutral,informasi atau berita saja
4482,2017-12-07T00:54:37.000Z,Kunci keberhasilan RUU Migas sepenuhnya menjadi tanggung jawab DPR sebagai pihak pengusul Bila RUU ini kembali gagal diperundangkan pada periode sekarang rakyat patut mempertanyakan APA KERJA terkhusus KOMISI VII ?,kunci hasil RUU migas sepenuh jadi tanggung jawab DPR bagai pihak usul bila RUU ini kembali gagal undang pada periode sekarang rakyat patut tanya APA KERJA khusus KOMISI VII ?,0.076006971111027,positive,ambiguous,negative,"ada seperti tekanan ke DPR RI, karena sender mengatakan bahwa DPR RI bertanggung jawab, kemudian ada ancaman atau kritik, yaitu ""rakyat patut mempertanyakan"""
11339,2020-12-15T06:41:21.000Z,kunker reses komisi XI DPR RI x OJK DIY OJK DIY plazamultimedia plazamultimediayogyakarta inarmandastheniawetrust komisixidprri senator dprri ojkindonesia wakilrakyat otoritasjasakeuangan,kunker reses komisi XI DPR RI kali OJK DIY OJK DIY plazamultimedia plazamultimediayogyakarta inarmandastheniawetrust komisixidprri senator dprri ojkindonesia wakilrakyat otoritasjasakeuangan,0.235495749538498,positive,moderate,neutral,"hanya berita atau informasi aja (ini tweetnya kurang rapi sehingga sulit dibaca, katanya menyambung)"
10572,2018-07-21T08:22:14.000Z,yg pegang setiap kebijakan keputusan siapa ? memang di DPR isix cuma bang disitu ada partai pendukung penguasa yg jumlahx lebih besar cukup sanggah apa yg di katakan bang benar atau tidak ingat pake data bukan nyinyirin orgx,yang pegang tiap bijak putus siapa ? memang di DPR isix cuma bang situ ada partai dukung kuasa yang jumlahx lebih besar cukup sanggah apa yang di kata bang benar atau tidak ingat pakai data bukan nyinyir orgx,0.7235234536550119,positive,very_confident,negative,"kemungkinan retweet / reply diskusi, namun ada kritik implisit ""DPR isinya cuma"""
6649,2017-06-07T16:02:50.000Z,Kalian wakil rakyat yang ga pernah mewakili aspirasi rakyat Jangan pilih orang yg menjadi inisiator hak angket KPK yg ingn melemahkan KPK,kalian wakil rakyat yang enggak pernah wakil aspirasi rakyat jangan pilih orang yang jadi inisiator hak angket KPK yang ingn lemah KPK,0.4333387055029912,positive,confident,negative,sudah sangatt jelass opininya menyatakan bahwa DPR tidak mewakili suara rakyat
2393,2016-07-22T07:32:26.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang,RUU pertanggungjawaban APBN tuju DPR untuk lanjut ke tingkat undang undang,0.1586485042974989,positive,moderate,neutral,informasi atau berita saja
12267,2022-12-28T14:00:18.000Z,Kiprah Puan Maharani sebagai Ketua DPR RI selama ini memperlihatkan sosok kepemimpinan yang memahami aspirasi rakyat dan memastikan aspirasi rakyat itu didengar Puan Harapan Rakyat,kiprah puan maharani bagai ketua DPR RI lama ini lihat sosok pimpin yang paham aspirasi rakyat dan pasti aspirasi rakyat itu dengar puan harap rakyat,0.1325487883908783,positive,ambiguous,positive,"pujian secara eksplisitit (walaupun saya merasa ini seperti sindiran ya.., tapi tetap menilai berdasarkan teksnya)"
1072,2016-10-19T00:16:31.000Z,Agenda Rabu Oktober Pukul Rapat Paripurna DPR RI MP I TS,agenda rabu oktober pukul rapat paripurna DPR RI MP i TS,0.0798297691111313,positive,ambiguous,neutral,informasi atau berita saja
4172,2017-12-30T05:30:23.000Z,Bpk Ibu anggota dan asal Dapil Sumatera Barat mohon kiranya ketika masa reses benar turun ke,bpk ibu anggota dan asal dapil sumatera barat mohon kira ketika masa reses benar turun ke,0.0788360629070662,positive,ambiguous,neutral,"harapan kepada pemimpinya (lagi-lagi, merasa ini seperti sindiran halus)"
5766,2017-08-13T02:51:28.000Z,Solusi Sidang Istimewa Percepat Pemilu kebijakan ekonomi berpihak pd kelompok berpendapatan tinggi,solusi sidang istimewa cepat milu bijak ekonomi pihak pada kelompok dapat tinggi,0.0570807419645304,positive,ambiguous,negative,"ada kritik tentang kebijakan ""berpihak pada kelompok berpendapatan tinggi”"
12318,2023-12-11T06:22:32.000Z,KUNJUNGAN KERJA KOMISI IX DPR RI Komisi IX DPR RI dalam Reses Masa Persidangan II Tahun Sidang melakukan kunjungan kerja provinsi Kalimantan Timur,KUNJUNG KERJA KOMISI IX DPR RI komisi IX DPR RI dalam reses masa sidang II tahun sidang laku kunjung kerja provinsi kalimantan timur,0.1780808681173301,positive,moderate,neutral,hanya publikasi agenda aja
7191,2017-04-27T02:36:52.000Z,Agenda Rapat Paripurna DPR RI Ke Masa Persidangan IV Tahun Sidang ParipurnaDPR,agenda rapat paripurna DPR RI ke masa sidang IV tahun sidang paripurnadpr,0.0798297691111313,positive,ambiguous,neutral,hanya publikasi agenda saja
11333,2020-12-15T15:13:26.000Z,Makanya anda jangan menggiring opini nntn karni mengatakan langsung di acara ILC bahwa itu kebijakan management teamnya sendiri untuk berhenti sementara waktu Giring opini terusss wakil rakyat kok makan isu murahan,makanya anda jangan giring opini tonton karni kata langsung di acara ILC bahwa itu bijak management teamnya sendiri untuk henti sementara waktu giring opini terus wakil rakyat kok makan isu murah,0.5966956287055878,positive,very_confident,negative,"mengandung kritik langsung dengan diksi merendahkan, terlihat pada tulisan ""wakil rakyat kok makan isu murahan"""
10422,2018-08-02T13:03:15.000Z,Satu orang Presiden yg mampu mmemang perlu Tetapi Punya ribuan wakil rakyat di DPR dan DPRD yang mampu adalah penting Presiden menjabat karena mandat rakyat Sedangkan Aspirasi rakyat dititipkan ke wakil,satu orang presiden yang mampu mmemang perlu tetapi punya ribu wakil rakyat di DPR dan DPRD yang mampu adalah penting presiden jabat karena mandat rakyat sedang aspirasi rakyat titip ke wakil,0.1586485042974989,positive,moderate,positive,mengandung pengakuan terhadap DPR sebagai representasi aspirasi rakyat
8829,2018-12-10T08:19:06.000Z,RT Awani AWANInews AWANI Isytihar harta lebih awal agar ahli politik dilihat lebih bersih,RT awan awaninews AWAN isytihar harta lebih awal agar ahli politik lihat lebih bersih,0.0957061711232549,positive,ambiguous,neutral,tweet ini tidak membahas DPR secara langsung
4245,2017-12-23T16:08:28.000Z,Bantu Rina Nugrahenny Sunardjo dapat lebih banyak tanda tangan tanda tangan diperlukan!,bantu rina nugrahenny sunardjo dapat lebih banyak tanda tangan tanda tangan perlu !,0.0988758786023702,positive,ambiguous,neutral,tweet ini tidak membahas DPR secara langsung
2560,2016-06-30T17:58:31.000Z,Pengesahan RUU Pertembakauan Diklaim Mampu Cegah Defisit Anggaran Panitia Kerja Panja DPR RI masih terus m,kesah RUU tembakau klaim mampu cegah defisit anggar panitia kerja panja DPR RI masih terus sama,0.0798297691111313,positive,ambiguous,neutral,"ini hanya informasi berita, tidak ada opini yang terbaca secara jelas ataupun evaluasi "
4016,2016-04-29T07:40:27.000Z,PKS Kapan Ledia Gantikan Fahri? Jakarta Dalam Rapat Paripurna DPR RI hari ini Jum at Fraksi P,PKS kapan ledia ganti fahri ? jakarta dalam rapat paripurna DPR RI hari ini jum at fraksi p,0.1227117692526877,positive,ambiguous,neutral,informasi kegiatan
9797,2018-09-29T10:40:30.000Z,Wakil Rakyat jangan suka cari sensasi Itu keliru sekarang kembali ketupoksi aja ada wakil rakyat gagal fokus kerjanya cuma nyinyir aja yg penting RUU diselesaikan di mana di dunia wakil rakyat mengakomodir kepentingan rakyat aja,wakil rakyat jangan suka cari sensasi itu keliru sekarang kembali ketupoksi saja ada wakil rakyat gagal fokus kerja cuma nyinyir saja yang penting RUU selesai di mana di dunia wakil rakyat mengakomodir penting rakyat saja,0.8265485532711243,positive,very_confident,negative,kritik terhadap perilaku anggota DPR yang dinilai tidak profesional
12867,2024-12-07T00:09:26.000Z,Silahkan Bu solid partainya tapi ingat kalian wakil rakyat Bu dan satu Krn ibu msh di DPR tolong ketok palu undang undang perampasan korupsi dan uang kartal serta hukum mati para koruptor kecuali kalian emang sengaja memelihara manusia seperti itu dan tuutp mata,sila bu solid partai tapi ingat kalian wakil rakyat bu dan satu karena ibu masih di DPR tolong ketok palu undang undang ampas korupsi dan uang kartal serta hukum mati para koruptor kecuali kalian memang sengaja pelihara manusia seperti itu dan tuutp mata,0.1167978350336192,positive,ambiguous,negative,"di tweet bagian awal memang terlihat seperti penyampaian opini biasa saja, namun diakhir teks, terdapat tuduhan implisit terhadap DPR terkait pembiaran praktik buruk"
2807,2016-06-20T06:48:36.000Z,DPR Tambah RUU dalam Prolegnas Republika Online,DPR tambah RUU dalam prolegnas republika online,0.235495749538498,positive,moderate,neutral,informasi kegiatan
2853,2016-06-19T05:41:36.000Z,Yang bahas UU Tax Amnesty tdk semua anggota DPR Di komisi XI Itupun hanya yang masuk ke panja RUU Tax Amnesty,yang bahas UU tax amnesty tidak semua anggota DPR di komisi XI itu hanya yang masuk ke panja RUU tax amnesty,0.5743565821252165,positive,very_confident,neutral,"diawal tweet terbaca, seolah-olah kinerja DPR kurang maksimal, sempat berpikir ""kok nggak semua anggota terlibat?”, 
kalau kaya gitu kesannya kan negative ya. namun, setelah aku coba baca lagi, 
lebih ke penjelasan dari fakta yang di informasikan ke kita semua tanpa ada sentimen negative didalamnya, 
kecuali ada kata yang membuat kesan ""DPR malas ikut untuk terlibat"""
4568,2017-11-26T01:01:12.000Z,Selanjutnya pak Taufan ketua menyatakan dukungannya terhadap RUU Penghapusan Kekerasan Seksual! GerakBersama,lanjut pak taufan ketua nyata dukung hadap RUU hapus keras seksual ! gerakbersama,0.2062006411927955,positive,moderate,neutral,"dari kata ""mendukung"", memang tweetnya terbaca positive, namun jika dibaca sepenuhnya, teks tweet ini hanya transmisi informasi"
12911,2024-12-04T06:27:23.000Z,TVR DPR RI Rapat Paripurna Sahkan IFFA Rosita Jadi Komisioner KPU,TVR DPR RI rapat paripurna sahkan IFFA rosita jadi komisioner KPU,0.0798297691111313,positive,ambiguous,neutral,Informasi hasil rapat
9555,2018-10-19T14:58:55.000Z,Hahahaha sebuah kebijakan pemerintah hrs dilawan dgn sbh kebijakan jg dr oposisi Itu yg kita namakan kebijakan alternatif Bkn nyinyir tp solusi smua org jg bs,hahahaha buah bijak perintah harus lawan dengan sbh bijak juga dari oposisi itu yang kita nama bijak alternatif bukan nyinyir tapi solusi semua orang juga bisa,0.2396892961025183,positive,moderate,neutral,"memang secara emosional, terlihatnya tweet ini berisi sentimen negative, namun kebijakan yang di singgung adalah kebijakan pemerintah, tidak ada konteks DPR RI"
7336,2017-04-09T16:29:04.000Z,Anang Hermansyah inisiasi RUU Tata Kelola Industri Musik Anggota Komisi X DPR RI Anang Hermansya news terpopuler,anang hermansyah inisiasi RUU tata kelola industri musik anggota komisi KALI DPR RI anang hermansya news populer,0.1586485042974989,positive,moderate,neutral,peng informasian dari berita
3730,2016-05-16T07:07:21.000Z,BeritaPolitik RUU Minol Tengah Memasuki Sidang Ketiga RUU Minol tersebut merupakan inisiatif dari anggota DPR RI,beritapolitik RUU mol tengah pasuk sidang tiga RUU mol sebut rupa inisiatif dari anggota DPR RI,0.0798297691111313,positive,ambiguous,neutral,"memang ada kata bagian yang menyatakan ""inisiatif DPR"", namun, sebenarnya kalau dibaca teks penuhnya itu hanya informasi deskriptif"
