no,timestamp,teks,teks_processed,ground_truth_mean,ground_truth_scaled,sd_annotator,ground_truth_category
363,2016-11-30T02:17:29.000Z,Agenda DPR Rabu Pukul WIB Rapat Paripurna DPR RI agendaDPR,agenda DPR rabu pukul WIB rapat paripurna DPR RI agendadpr,0.0,0.0,0.0,neutral
366,2016-11-29T22:30:56.000Z,Temui Petani Tembakau Anggota DPR Ini Janji Kawal Penyelesaian RUU Pertembakauan,temu tani tembakau anggota DPR ini janji kawal selesai RUU tembakau,0.8,0.2,0.44721359549995804,positive
369,2016-11-29T13:18:38.000Z,Sangat Free hatin Ruang Rapat Paripurna DPR RI,sangat free hatin ruang rapat paripurna DPR RI,-1.6,-0.4,0.8944271909999161,negative
401,2016-11-26T08:00:02.000Z,RUU CSR Wajib Atau Sukarela,RUU CSR wajib atau sukarela,0.2,0.05,0.447213595499958,positive
411,2016-11-25T07:29:04.000Z,DPR Gali Masukan Soal RUU CSR IkiBangsaku,DPR gali masuk soal RUU CSR ikibangsaku,0.2,0.05,1.3038404810405297,positive
420,2016-11-24T02:49:08.000Z,mohon info bagaimana kemajuan RUU_Jasa_Konstruksi?,mohon info bagaimana maju ruu_jasa_konstruksi ?,-0.6,-0.15,0.8944271909999159,negative
442,2016-11-22T13:48:28.000Z,Rapat Paripurna at,rapat paripurna at,0.0,0.0,0.0,neutral
472,2016-11-19T10:49:19.000Z,Reaksi Mbah Mijan Terkait Pengesahan UU Santet lewat,reaksi mbah mijan kait pengesahan UU santet lewat,-0.2,-0.05,0.44721359549995804,negative
494,2016-11-17T23:15:00.000Z,Formappi Fraksi Nasdem Paling Sering Bolos,formappi partai nasdem paling sering bolos,-2.2,-0.55,1.3038404810405297,negative
523,2016-11-16T13:54:33.000Z,Pemerintah dan DPR RI sepakat menetapkan batas waktu penyelesaian pembahasan Revisi Undang undang Pemilu RUU,pemerintah dan DPR RI sepakat tetap batas waktu selesai bahas revisi undang undang pemilu RUU,0.8,0.2,0.44721359549995804,positive
531,2016-11-16T09:27:15.000Z,DPR Komitmen Percepat Pembahasan RUU,DPR komitmen cepat bahas RUU,1.0,0.25,0.7071067811865476,positive
552,2016-11-15T08:34:32.000Z,Reses Wakil Rakyat Dapil Lampung I Ahmad Muzani,reses wakil rakyat dapil lampung i ahmad muzani,0.0,0.0,0.0,neutral
565,2016-11-14T04:54:33.000Z,Reses anggota MS II tahun Sidang bang kumpulkan kepala desa se kabupaten Sumbawa dorong desa mandiri,reses anggota MASIH II tahun sidang bang kumpul kepala desa se kabupaten sumbawa dorong desa mandiri,0.8,0.2,0.44721359549995804,positive
566,2016-11-14T02:55:32.000Z,RESES ANGGOTA DPR RI FRAKSI PDIP MARUARAR SIRAIT,RESES ANGGOTA DPR RI PARTAI PDIP MARUARAR SIRAIT,0.0,0.0,0.0,neutral
583,2016-11-09T08:28:55.000Z,Reses DPR RI Harus Lapor ke Fraksi Golkar Daerah,reses DPR RI harus lapor ke partai golkar daerah,0.0,0.0,0.0,neutral
606,2016-11-07T12:55:43.000Z,Kesekian kalinya Dewan Perwakilan Rakyat Daerah DPRD Kabupaten Gresik menggelar rapat paripurna penyampaian,sekian kali dewan wakil rakyat daerah DPRD kabupaten gresik gelar rapat paripurna sampai,0.0,0.0,0.0,neutral
681,2016-10-31T18:58:51.000Z,DPR targetkan UU Perbukuan Nnasional rampung Komisi X DPR RI menargetkan rancangan Undang Undang Sis RT,DPR target UU buku nnasional rampung komisi kali DPR RI target rancangan undang undang sis RT,0.8,0.2,0.44721359549995804,positive
690,2016-10-31T02:44:33.000Z,Untuk menangani sampah diperlukan perspektif kebangsaan yang holistik ta hanya oleh pemangku kebijakan tap,untuk tangan sampah perlu perspektif bangsa yang holistik ta hanya oleh mang kebijakan tap,0.0,0.0,0.0,neutral
718,2016-10-29T09:00:10.000Z,Anggota DPR Indra Tersangka Penipuan Rp M MKD Bersikap Usai Reses fath,anggota DPR indra sangka tipu rp sama MKD sikap usai reses fath,-1.6,-0.4,0.8944271909999161,negative
745,2016-10-28T09:52:38.000Z,DPR Umumkan Susunan Anggota Pansus RUU Pemilu,DPR umum susun anggota pansus RUU pemilu,0.0,0.0,0.0,neutral
786,2016-10-27T11:22:50.000Z,DPR RI Sahkan Revisi RUU ITE,DPR RI sahkan revisi RUU ITE,0.4,0.1,0.5477225575051662,positive
790,2016-10-27T09:43:16.000Z,Paripurna DPR Sahkan RUU ITE Jadi UU,paripurna DPR sahkan RUU ITE jadi UU,0.6,0.15,0.5477225575051662,positive
825,2016-10-27T02:00:14.000Z,Anggota DPR Tak Hadir Dalam Sidang Paripurna Pengesahan UU APBN Jakarta DPR siang ini menggelar s,anggota DPR tak hadir dalam sidang paripurna pengesahan UU APBN jakarta DPR siang ini gelar si,-2.8,-0.7,0.44721359549995787,negative
829,2016-10-26T19:56:26.000Z,DPR RI Menyetujui RUU APBN,DPR RI tuju RUU APBN,0.2,0.05,0.447213595499958,positive
877,2016-10-26T06:20:26.000Z,Agenda hari ini Rapat Paripurna DPR Ke Masa Persidangan I Tahun Sidang agendaDPR sidangparipurna DPR RI,agenda hari ini rapat paripurna DPR ke masa sidang i tahun sidang agendadpr sidangparipurna DPR RI,0.0,0.0,0.0,neutral
879,2016-10-26T05:26:12.000Z,Syarifuddin Suding RUU Pemilu Akan Digiring ke Pemilu Sistem Proporsional Tertutup,syarifuddin suding RUU pemilu akan giring ke pemilu sistem proporsional tutup,0.0,0.0,0.0,neutral
1003,2016-10-20T10:03:32.000Z,Wakil Ketua DPR RI Agus Hermanto mendorong pemerintah segera menyerahkan draf Rancangan Undang Undang RUU P,wakil ketua DPR RI agus hermanto dorong pemerintah segera serah draf rancangan undang undang RUU p,0.8,0.2,0.44721359549995804,positive
1032,2016-10-19T16:29:23.000Z,Usai Reses Ruhut Mundur sebagai Anggota DPR RI,usai reses ruhut mundur bagai anggota DPR RI,-0.2,-0.05,0.44721359549995804,negative
1033,2016-10-19T15:20:37.000Z,Terimakasih Indonesia Sahkan Paris Agreement Jadi Undang Undang,terimakasih indonesia sahkan paris agreement jadi undang undang,1.4,0.35,0.5477225575051661,positive
1121,2016-10-14T09:16:22.000Z,Panja RUU Sistem Perbukuan Identifikasi Masalah Utama,panja RUU sistem buku identifikasi masalah utama,0.2,0.05,0.44721359549995804,positive
1155,2016-10-13T01:49:36.000Z,DPR Sahkan UU Pelaksanaan Hukuman Kebiri JAKARTA SK Pihak DPR RI akhirnya mengesahkan undang undang UU,DPR sahkan UU laksana hukum kebiri JAKARTA SUKA pihak DPR RI akhir pengesahan undang undang UU,0.4,0.1,0.5477225575051662,positive
1223,2016-10-12T02:40:42.000Z,DPR Kembali Bahas UU Perppu di Rapat Paripurna Dewan Perwakilan Rakyat DPR,DPR kembali bahas UU perppu di rapat paripurna dewan wakil rakyat DPR,0.0,0.0,0.0,neutral
1232,2016-10-11T09:38:26.000Z,Rapat juga menyetujui perpanjangan waktu pembahasan Pansus RUU PPILN sampai dengan Masa Persidangan II Tahun Sidang,rapat juga tuju panjang waktu bahas pansus RUU PPILN sampai dengan masa sidang II tahun sidang,-0.4,-0.1,0.5477225575051662,negative
1260,2016-10-10T13:03:13.000Z,KabaKampuang Fraksi Partai Kebangkitan Bangsa di DPR RI akan mengusulkan RUU Pendidikan Madrasah dan Pondok Pesan,kabakampuang partai partai bangkit bangsa di DPR RI akan usul RUU didik madrasah dan pondok pesan,0.8,0.2,0.44721359549995804,positive
1279,2016-10-09T23:07:21.000Z,Dewan Perwakilan Rakyat DPR meminta aturan turunan dari Undang Undang UU No Tahun tentang Pendidikan,dewan wakil rakyat DPR minta pengaturan turun dari undang undang UU no tahun tentang didik,0.2,0.05,0.447213595499958,positive
1282,2016-10-08T20:03:18.000Z,DPR bebas visa disalahgunakan jatim rugi Rp triliun Komisi III DPR RI menemukan penyalahgunaan kebijakan bebas,DPR bebas visa disalahgunakan jatim rugi rp triliun komisi II DPR RI temu penyalahgunaan kebijakan bebas,-1.4,-0.35,0.8944271909999159,negative
1290,2016-10-07T00:54:12.000Z,Anggota DPR Apresiasi Penghentian Kebijakan Plastik Berbayar,anggota DPR apresiasi henti kebijakan plastik bayar,0.8,0.2,0.44721359549995804,positive
1327,2016-10-05T17:45:55.000Z,DPR dukung undang undang khusus tentang Antara Anggota Komisi I DPR RI yang juga pernah menjadi pemimpin reda,DPR dukungan undang undang khusus tentang antara anggota komisi i DPR RI yang juga pernah jadi kepemimpinan reda,0.8,0.2,0.44721359549995804,positive
1406,2016-09-28T05:14:03.000Z,Komisi II DPR RI Siap Bahas Pasal RUU Pemilu,komisi II DPR RI siap bahas pasal RUU pemilu,0.2,0.05,0.447213595499958,positive
1412,2016-09-27T23:57:38.000Z,hukumOnline Jika RUU Jabatan Hakim Disahkan Hakim Bukan Monopoli MA Dewan Perwakilan Rakyat DPR menjad,hukumonline jika RUU jabatan hakim sah hakim bukan monopoli SAMA dewan wakil rakyat DPR menjad,0.0,0.0,0.0,neutral
1449,2016-09-22T07:22:19.000Z,Tribun Rieke Diah Pitaloka Undang Undang Tax Amnesty Jangan Menakuti Pengusaha NewsToday DKK,tribun rieke diah pitaloka undang undang tax amnesty jangan takut usaha newstoday DKK,0.0,0.0,0.0,neutral
1482,2016-09-20T07:07:10.000Z,Cari Masukan RUU Karantina Hewan Ikan dan Tumbuhan Komisi IV DPR RI Gelar FGD di Undip,cari masuk RUU karantina hewan ikan dan tumbuh komisi IV DPR RI gelar FGD di undip,0.8,0.2,0.44721359549995804,positive
1514,2016-09-15T08:20:44.000Z,Berlanjut Baleg DPR RI Bahas DIM RUU Kekarantinaan Kesehatan,lanjut baleg DPR RI bahas DIM RUU karantina sehat,0.0,0.0,0.0,neutral
1567,2016-09-10T12:33:07.000Z,Anggota DPR RUU ITE mengacu putusan MK Indonesia,anggota DPR RUU ITE acu keputusan MAKA indonesia,0.0,0.0,0.0,neutral
1569,2016-09-10T12:32:44.000Z,Anggota DPR RUU ITE mengacu putusan MK politik,anggota DPR RUU ITE acu keputusan MAKA politik,-0.4,-0.1,0.5477225575051662,negative
1587,2016-09-09T00:15:54.000Z,Hari Hari Sepi Rapat Paripurna DPR Berlanjut,hari hari sepi rapat paripurna DPR lanjut,-2.0,-0.5,0.0,negative
1759,2016-08-28T11:02:53.000Z,Baleg DPR RI Undang PP IPPAT Bahas Persiapan Pengesahan RUU PPAT,baleg DPR RI undang PP IPPAT bahas siap pengesahan RUU PPAT,0.8,0.2,0.4472135954999579,positive
1765,2016-08-27T13:44:06.000Z,Menyambut HUTDPR pada Agustus juga akan diadakan Rapat Paripurna DPR RI dengan agenda tunggal laporan kinerja DPR RI HUTDPR,sambut HUTDPR pada agustus juga akan ada rapat paripurna DPR RI dengan agenda tunggal lapor kerja DPR RI HUTDPR,0.6,0.15,0.5477225575051662,positive
1819,2016-08-24T13:26:15.000Z,Itu undang undang bung bukan peraturan perusahaan Pembuatan UU butuh anggota dpr komisi hukum dan makan wkt lama,itu undang undang bung bukan pengaturan usaha buat UU butuh anggota dpr komisi hukum dan makan waktu lama,0.0,0.0,0.0,neutral
1820,2016-08-23T16:03:02.000Z,Populer Aturan Cuti Petahana Sebaiknya Opsional,populer pengaturan cuti tahana baik opsional,0.0,0.0,0.0,neutral
1861,2016-08-23T12:13:12.000Z,News Ketua DPR Tak Ingin Komisi III Buru buru dalam Membahas RUU KUHP Komisi III DPR RI menggelar acar TU,news ketua DPR tak ingin komisi II buru buru dalam bahas RUU KUHP komisi II DPR RI gelar acar ITU,0.0,0.0,0.0,neutral
1866,2016-08-23T04:32:36.000Z,Dr Agus Hermanto bersama pimpinan DPR RI menghadiri Rapat Paripurna Masa Persidangan I TS,dari agus hermanto sama kepemimpinan DPR RI hadir rapat paripurna masa sidang i TS,0.0,0.0,0.0,neutral
1898,2016-08-19T15:57:02.000Z,JKTJanken vs Winner Aurel,jktjanken vs winner aurel,0.0,0.0,0.0,neutral
1903,2016-08-18T14:46:18.000Z,Wakil rakyat perlu elak politikkan RUU,wakil rakyat perlu elak politik RUU,-1.2,-0.3,0.8366600265340756,negative
1935,2016-08-16T08:41:53.000Z,Pidato presiden Republik Indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tgl Agustus,pidato presiden republik indonesia tentang RUU APBN pada sidang paripurna DPR RI DPD RI tanggal agustus,0.0,0.0,0.0,neutral
1941,2016-08-16T08:02:05.000Z,Demikian beberap poin penting pidato Ketua DPR Ade Komarudin dalam Rapat Paripurna DPR RI mengenai RUU APBN ParipurnaDPR,demikian beberap poin penting pidato ketua DPR adek komarudin dalam rapat paripurna DPR RI kena RUU APBN paripurnadpr,0.0,0.0,0.0,neutral
2079,2016-08-10T06:08:28.000Z,Anggota DPR Kebijakan Full Day School BelumTepat,anggota DPR kebijakan full day school belumtepat,-1.0,-0.25,0.7071067811865476,negative
2086,2016-08-10T01:05:04.000Z,Anggota DPR Usulan RUU Kamnas Belum Tepat,anggota DPR usul RUU kamnas belum tepat,-1.2,-0.3,0.44721359549995804,negative
2162,2016-08-06T19:11:16.000Z,Rapat paripurna komisi dpr,rapat paripurna komisi dpr,0.0,0.0,0.0,neutral
2251,2016-07-28T17:25:49.000Z,Tribun Ketua Komisi V Fary Djemi Luncurkan Buku Pengalaman saat Reses etua Komisi V DPR RI Fary Djemi NewsToday,tribun ketua komisi v fary djemi luncur buku alam saat reses etua komisi v DPR RI fary djemi newstoday,0.8,0.2,0.44721359549995804,positive
2288,2016-07-27T17:17:12.000Z,Fraksi Setuju RUU Pertembakauan Diparipurnakan via republika,partai tuju RUU tembakau paripurna via republika,0.2,0.05,0.447213595499958,positive
2328,2016-07-26T17:38:32.000Z,NEWS Anggota DPR Sebut RUU Tembakau untuk Melindungi Petani GaleriBerita,NEWS anggota DPR sebut RUU tembakau untuk lindung tani galeriberita,0.8,0.2,0.44721359549995804,positive
2351,2016-07-26T05:28:42.000Z,Gubernur dan Plt Sekda Tidak Hadiri Rapat Paripurna Wakil Rakyat Kepulauan Riau Kepri,gubernur dan plt sekda tidak hadir rapat paripurna wakil rakyat pulau riau kepri,0.0,0.0,0.0,neutral
2391,2016-07-22T11:30:57.000Z,tahun RUU PRT diabaikan wakil rakyat via,tahun RUU PRT abai wakil rakyat via,-2.0,-0.5,1.224744871391589,negative
2398,2016-07-22T07:04:46.000Z,RUU Pertanggungjawaban APBN Disetujui DPR Untuk Dilanjutkan ke Tingkat Undang Undang beritanegara,RUU pertanggungjawaban APBN tuju DPR untuk lanjut ke tingkat undang undang beritanegara,0.4,0.1,0.5477225575051662,positive
2403,2016-07-21T14:53:03.000Z,Kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU Tembakau yg memuat racun nikotin perusak kesehatan otak dan paru insan?,kenapa mata jadi buta telinga jadi tuli bila anggota DPR bahas RUU tembakau yang muat racun nikotin usak sehat otak dan paru insan ?,-2.8,-0.7,0.44721359549995787,negative
2472,2016-07-19T03:29:08.000Z,Undang Undang Pertembakauan Tekankan Pengendalian Impor,undang undang tembakau tekan kendali impor,0.0,0.0,0.0,neutral
2547,2016-07-02T08:15:49.000Z,JAKARTA Anggota Komisi IX DPR RI Ahmad Zainuddin menyambut baik kebijakan Badan Penyelenggara Jaminan Sosia,JAKARTA anggota komisi IX DPR RI ahmad zainuddin sambut baik kebijakan badan penyelenggaraan jamin sosia,1.0,0.25,0.0,positive
2566,2016-06-29T07:45:15.000Z,RUU tentang Penyandang Disabilitas yg merupakan revisi dari UU Nomor Tahun kini telah disahkan menjadi Undang Undang oleh,RUU tentang sandang disabilitas yang rupa revisi dari UU nomor tahun kini telah sah jadi undang undang oleh,1.2,0.3,0.8366600265340756,positive
2646,2016-06-27T16:19:02.000Z,RUU Tax Amnesty Melangkah ke Paripurna DPR RI,RUU tax amnesty lang ke paripurna DPR RI,0.8,0.2,0.44721359549995804,positive
2660,2016-06-27T14:05:35.000Z,Hari ini Komisi XI DPR_RI melakukan persetujuan tingkat I atas RUU Pengampunan Pajak Semua fraksi setuju diteruskan ke Paripurna DPR,hari ini komisi XI DPR_RI pelaksanaan tuju tingkat i atas RUU ampun pajak semua partai tuju terus ke paripurna DPR,0.2,0.05,0.447213595499958,positive
2663,2016-06-27T13:01:17.000Z,Rapat Paripurna Diwarnai Bangku Kosong Anggota Dewan,rapat paripurna warna bangku kosong anggota dewan,-2.8,-0.7,0.44721359549995787,negative
2708,2016-06-27T03:08:44.000Z,Anggota DPR Impor Daging Sapi Kebijakan Sia Sia,anggota DPR impor daging sapi kebijakan sia sia,-1.8,-0.45,0.4472135954999579,negative
2729,2016-06-26T11:21:02.000Z,Pengamat spt Ronny Bako apakah ada niat baik dgn mengulur ulur taxamnesty ?,amat seperti ronny bako apakah ada niat baik dengan ulur ulur taxamnesty ?,-1.8,-0.45,0.44721359549995804,negative
2731,2016-06-26T09:24:48.000Z,Tata tertib DPR Pasal Ayat jelas menyebutkan bahwa rapat rapat DPR harus dilaksanakan di gedung DPR,tata tertib DPR pasal ayat jelas sebut bahwa rapat rapat DPR harus laksana di gedung DPR,0.0,0.0,0.0,neutral
2751,2016-06-23T04:04:46.000Z,Rapat Paripurna DPRD Kab Wonogiri,rapat paripurna DPRD kab wonogiri,0.0,0.0,0.0,neutral
2796,2016-06-20T14:22:37.000Z,Panja RUU Kebudayaan Himpun Masukan ke NTB,panja RUU budaya himpun masuk ke NTB,0.2,0.05,0.8366600265340756,positive
2813,2016-06-20T06:16:06.000Z,RUU Kebudayaan Diharap Bisa Lestarikan Kearifan Lokal Republika Online,RUU budaya harap dapat lestari arif lokal republika online,1.0,0.25,0.0,positive
2814,2016-06-20T05:53:11.000Z,UMKM dapat tarif tebusan khusus di RUU Tax Amnesty,UMKM dapat tarif tebus khusus di RUU tax amnesty,0.6,0.15,0.5477225575051662,positive
2829,2016-06-20T04:54:55.000Z,Wakil Rakyat Tak Hadir di Paripurna DPR Bahas Calon Kapolri DPR menggelar rapat paripurna deng Detikcom,wakil rakyat tak hadir di paripurna DPR bahas calon kapolri DPR gelar rapat paripurna deng detikcom,-2.8,-0.7,0.44721359549995787,negative
2842,2016-06-20T03:19:13.000Z,DPR RI Impor Daging Kebijakan Sia Sia,DPR RI impor daging kebijakan sia sia,-1.6,-0.4,0.8944271909999159,negative
2843,2016-06-20T02:41:15.000Z,Ruang Rapat Paripurna DPR RI,ruang rapat paripurna DPR RI,0.0,0.0,0.0,neutral
2848,2016-06-19T16:45:20.000Z,RUU pengampunan perampok TolakTAXAmnesty TolakTAXAmnesty,RUU ampun rampok tolaktaxamnesty tolaktaxamnesty,-3.0,-0.75,0.0,negative
2909,2016-06-15T08:40:20.000Z,RUU Arsitek Bakal Atur Mengenai Jenjang Pendidikan,RUU arsitek bakal pengaturan kena jenjang didik,0.0,0.0,0.0,neutral
2947,2016-06-13T21:27:29.000Z,Lancar Pak hingga pelantikan Selamat Pak BG,lancar pak hingga lantik selamat pak BANG,0.0,0.0,0.0,neutral
2948,2016-06-13T21:21:33.000Z,Selamat Pak BG lancar hingga pelantikan,selamat pak BANG lancar hingga lantik,0.0,0.0,0.0,neutral
3078,2016-06-07T06:25:19.000Z,Ketua Fraksi PPP DPR RI Reni Marlinawati mengharapkan pembahasan RUU tentang Perlindungan Kejahatan Seks dip,ketua partai PP DPR RI reni marlinawati harap bahas RUU tentang lindung jahat seks dip,1.0,0.25,0.0,positive
3136,2016-06-03T08:25:58.000Z,Baleg dan Menkes Bahas RUU Kekarantinaan Kesehatan,baleg dan menkes bahas RUU karantina sehat,0.0,0.0,0.0,neutral
3137,2016-06-03T08:24:36.000Z,Kebijakan Pemerintah Terkait Harga Daging Sapi Matikan Peternak,kebijakan pemerintah kait harga daging sapi mati ternak,-1.2,-0.3,1.0954451150103324,negative
3191,2016-06-02T06:33:30.000Z,Diskusi Publik Fraksi Partai Gerindra DPR RI Urgensi RUU Karantina at Gedung Nusantara I Lt DPR RI,diskusi publik partai partai gerindra DPR RI urgensi RUU karantina at gedung nusantara i lantai DPR RI,0.8,0.2,0.44721359549995804,positive
3214,2016-06-02T05:43:33.000Z,Selamat atas pengesahan perubahan kedua UU No ttg Perppu UNo ttg Pemilihan Gubernur Bupati Walikota jadi UU ParipurnaLive,selamat atas pengesahan ubah dua UU no tentang perppu uno tentang pilih gubernur bupati walikota jadi UU paripurnalive,1.4,0.35,0.5477225575051661,positive
3297,2016-05-31T10:57:26.000Z,DPR Tegaskan RUU Pertembakauan Lindungi Petani,DPR tegas RUU tembakau lindung tani,0.6,0.15,0.5477225575051662,positive
3308,2016-05-31T04:24:57.000Z,LANGSUNG di Periscope Para Tokoh OIC Youth ICMI AIDA FPI ICJR sampaikan masukan terkait Revisi RUU Pemberant,LANGSUNG di periscope para tokoh OIC youth ICMI AIDA FPI ICJR sampai masuk kait revisi RUU pemberant,0.8,0.2,0.44721359549995804,positive
3360,2016-05-28T09:36:33.000Z,Fraksi PKB DPR RI Siap Ajukan RUU Pengelolaan Madrasah,partai PKB DPR RI siap aju RUU kelola madrasah,0.6,0.15,0.5477225575051662,positive
3377,2016-05-27T11:26:23.000Z,RUU Tax Amnesty Saatnya Revolusi Perpajakan,RUU tax amnesty saat revolusi paja,0.8,0.2,0.44721359549995804,positive
3411,2016-05-26T09:30:35.000Z,Senin depan rapat terbuka bahas RUU taxamnesty,senin depan rapat buka bahas RUU taxamnesty,0.0,0.0,0.0,neutral
3417,2016-05-26T06:26:52.000Z,Agenda selanjutnya pendapat Fraksi terhadap RUU Penyelenggaraan Ibadah Haji Umrah usul inisiatif Komisi VIII jadi usul DPR ParipurnaLive,agenda lanjut dapat partai hadap RUU penyelenggaraan ibadah haji umrah usul inisiatif komisi VII jadi usul DPR paripurnalive,0.2,0.05,0.447213595499958,positive
3461,2016-05-25T11:08:48.000Z,inikah wakil rakyat???? Makan gaji buta haram hukumnya,ini wakil rakyat ? ? makan gaji buta haram hukum,-3.8,-0.95,0.44721359549995787,negative
3467,2016-05-25T10:08:18.000Z,Retweet FollowMe Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembaha NewsUpdate Today,retweet followme banyak anggota DPR bolos rapat bahas jumlah RUU mandek pembaha newsupdate today,-3.6,-0.9,0.8944271909999161,negative
3468,2016-05-25T10:08:01.000Z,Banyak Anggota DPR Bolos Rapat Pembahasan Sejumlah RUU Mandek Pembahasan sederet RUU di DPR mandek bahkan hingga beberapa masa sida,banyak anggota DPR bolos rapat bahas jumlah RUU mandek bahas deret RUU di DPR mandek bahkan hingga beberapa masa sida,-3.6,-0.9,0.8944271909999161,negative
3492,2016-05-24T12:09:06.000Z,Ya RUU ini usul inisiatif Komisi DPR RI,ya RUU ini usul inisiatif komisi DPR RI,0.0,0.0,0.0,neutral
3494,2016-05-24T11:38:49.000Z,Anggota DPR BUMN jangan habisi kontraktor kecil Anggota Panja Revisi Undang Undang Jasa Konstruksi Mohamm,anggota DPR BUMN jangan habis kontraktor kecil anggota panja revisi undang undang jasa konstruksi mohamm,0.4,0.1,1.3416407864998738,positive
3567,2016-05-20T08:05:01.000Z,Rapat Paripurna DPR ke Sepi Wakil Rakyat,rapat paripurna DPR ke sepi wakil rakyat,-2.2,-0.55,1.3038404810405297,negative
3570,2016-05-20T07:51:13.000Z,Anggota DPR RI Fraksi Nasdem Johny Plate Pembahasan RUU tax amnesty ditargetkan akan selesai pada Juni mendatang,anggota DPR RI partai nasdem johny plate bahas RUU tax amnesty target akan selesai pada juni datang,0.8,0.2,0.44721359549995804,positive
3574,2016-05-20T07:49:09.000Z,Hatta Rajasa RAPBN Jadi Pembahasan Paripurna ke DPR RI Rapat Paripurna dihadiri oleh Menteri Keuan,hatta rajasa RAPBN jadi bahas paripurna ke DPR RI rapat paripurna hadir oleh menteri uan,0.0,0.0,0.0,neutral
3619,2016-05-18T10:52:37.000Z,Baleg Setuju RUU Kekerasan Seksual Masuk Prolegnas,baleg tuju RUU keras seksual masuk prolegnas,0.8,0.2,0.44721359549995804,positive
3673,2016-05-17T05:53:27.000Z,semangat bpk smg cpt reses lg,semangat bpk moga cepat reses lagi,0.2,0.05,1.30384048104053,positive
3708,2016-05-16T14:16:53.000Z,Reses DPR RI di Kantor Desa Pasir Angin Cileungsi Bogor,reses DPR RI di kantor desa pasir angin cileungsi bogor,0.0,0.0,0.0,neutral
3737,2016-05-16T05:31:03.000Z,Tweeps besok Mei rencana panja RUU Pengampunan Pajak mulai bekerja lagi Perlu dipantau nih,tweeps besok mei rencana panja RUU ampun pajak mulai kerja lagi perlu pantau ini,-0.4,-0.1,0.5477225575051662,negative
3842,2016-05-10T02:27:00.000Z,Dinamika Politik Proses Pembentukan Undang Undang di Dewan Perwakilan Rakyat dan Kendalanya at Gedung DPR RI,dinamika politik proses bentuk undang undang di dewan wakil rakyat dan kendala at gedung DPR RI,0.0,0.0,0.0,neutral
