no,score_annotator 1,score_annotator 2,score_annotator 3,score_annotator 4,score_annotator 5
11998,0,0,0,0,0
6674,1,1,1,1,1
5580,0,0,0,0,0
9450,-1,-1,-1,-1,-1
8329,2,2,1,1,2
9774,0,1,0,1,1
5292,0,0,0,0,0
5409,1,1,1,1,-1
6165,-1,0,0,0,0
2848,-3,-3,-3,-3,-3
6051,0,0,0,0,0
4070,0,1,1,0,1
4025,0,0,0,0,0
11625,-3,-3,-3,-3,-3
6838,0,0,0,0,0
5445,-2,-2,-2,-2,-2
4033,0,1,1,0,1
8112,0,1,0,1,1
9783,0,1,0,0,1
3619,0,1,1,1,1
7497,0,1,1,1,1
6482,0,0,0,0,0
5808,0,0,0,0,0
8171,1,1,0,1,1
7035,-3,-3,-3,-3,-3
3377,0,1,1,1,1
2472,0,0,0,0,0
3492,0,0,0,0,0
11082,0,0,1,1,0
7438,0,1,1,1,1
4489,0,0,0,0,0
2751,0,0,0,0,0
6684,-1,-1,-1,-1,-1
12045,-1,-2,-2,-2,-2
1820,0,0,0,0,0
1567,0,0,0,0,0
1898,0,0,0,0,0
2646,0,1,1,1,1
12914,0,1,0,1,1
6884,-1,-1,-1,-1,-1
8389,-1,-1,-1,-2,-1
5581,0,1,1,0,1
681,0,1,1,1,1
5641,-1,-2,-2,-3,-2
5519,0,0,0,0,0
6241,-3,-4,-4,-4,-4
3417,0,0,0,1,0
1282,0,-2,-2,-1,-2
7075,-3,-3,-3,-3,-3
7881,0,0,0,0,0
718,0,-2,-2,-2,-2
6992,-1,1,1,1,1
9632,-2,-2,-2,-3,-2
7789,-2,-2,-2,-2,-2
1327,0,1,1,1,1
7189,0,0,0,0,0
5023,0,-1,-1,-1,-1
101,0,1,1,1,1
2328,0,1,1,1,1
3953,-1,-1,-1,-1,-1
4470,0,1,1,0,1
10568,0,1,1,1,1
5921,0,0,0,0,0
8132,0,0,0,0,0
1290,0,1,1,1,1
5450,1,1,1,1,1
690,0,0,0,0,0
1003,0,1,1,1,1
3078,1,1,1,1,1
1759,1,1,1,0,1
12223,0,-1,-1,-1,-1
2660,0,0,0,1,0
8288,0,0,0,0,0
6807,0,-1,-1,0,-1
7359,0,1,1,1,1
6414,-2,-3,-3,-3,-3
12924,0,0,0,0,0
1223,0,0,0,0,0
1260,0,1,1,1,1
523,0,1,1,1,1
11646,-1,0,0,0,0
2829,-2,-3,-3,-3,-3
10943,0,0,0,0,0
50,0,1,1,1,1
3137,0,-2,-2,0,-2
4027,0,0,0,0,0
5940,0,0,0,0,0
3468,-2,-4,-4,-4,-4
11554,0,1,1,1,1
359,0,0,0,0,0
3842,0,0,0,0,0
12249,-3,-2,-2,-3,-2
1412,0,0,0,0,0
6056,-1,-1,-1,-1,-1
12399,-3,-4,-3,-3,-4
8083,0,1,1,1,1
135,0,0,0,0,0
5575,0,1,1,1,1
1765,0,1,0,1,1
5610,-1,0,0,-1,0
7604,0,0,0,0,0
6616,0,-2,-2,-2,-2
3191,0,1,1,1,1
8201,0,-1,0,0,-1
9790,-1,-2,0,-1,-2
2729,-1,-2,-2,-2,-2
12723,0,0,0,0,0
825,-2,-3,-3,-3,-3
3467,-2,-4,-4,-4,-4
10249,0,1,1,1,1
1155,0,0,1,1,0
5526,0,1,1,0,1
1033,1,2,1,1,2
11114,-2,-2,-2,-2,-2
6278,0,0,0,0,0
1866,0,0,0,0,0
2398,0,0,1,1,0
150,0,1,1,1,1
7860,0,0,0,0,0
5486,-2,-2,-2,-2,-2
4108,0,0,0,0,0
4222,0,0,0,0,0
877,0,0,0,0,0
2403,-2,-3,-3,-3,-3
3737,0,-1,0,0,-1
2547,1,1,1,1,1
2731,0,0,0,0,0
3308,0,1,1,1,1
9708,0,1,0,0,1
6407,1,-1,-1,1,-1
10919,-2,-4,-4,-4,-4
9772,0,0,0,0,0
10795,0,0,0,0,0
2351,0,0,0,0,0
2566,0,2,1,1,2
5021,0,-2,-1,-1,-2
7435,-1,0,0,0,0
363,0,0,0,0,0
7607,0,0,0,0,0
4657,0,1,1,1,1
366,0,1,1,1,1
6376,-2,-2,-2,0,-2
3574,0,0,0,0,0
2813,1,1,1,1,1
4143,1,1,1,1,1
9236,-1,-2,-2,-2,-2
1232,0,-1,0,0,-1
565,0,1,1,1,1
6011,0,0,0,0,0
4180,0,0,0,0,0
11067,-1,-1,-1,-1,-1
3708,0,0,0,0,0
1279,0,0,0,1,0
11927,1,1,0,1,1
3494,-2,1,1,1,1
1935,0,0,0,0,0
3214,1,2,1,1,2
6830,-3,-4,-4,-3,-4
4307,-3,-3,-2,-2,-3
10874,0,1,1,1,1
5893,0,0,0,0,0
5067,0,0,0,1,0
606,0,0,0,0,0
121,0,1,0,1,1
11717,1,-1,1,1,-1
6451,-4,-4,-4,-4,-4
1449,0,0,0,0,0
7228,0,0,0,0,0
5954,-2,-3,-2,-2,-3
9140,0,0,0,0,0
11791,1,-1,1,1,-1
8309,0,-1,0,-1,-1
9682,0,0,0,0,0
2251,0,1,1,1,1
5327,0,0,0,0,0
8336,0,0,0,0,0
89,-2,-3,-3,-3,-3
5365,0,1,1,1,1
84,0,1,1,1,1
12833,0,0,0,0,0
12685,1,1,1,1,1
879,0,0,0,0,0
1941,0,0,0,0,0
7681,-2,-4,-3,-3,-4
1819,0,0,0,0,0
10297,0,1,1,0,1
8621,-2,-4,-4,-3,-4
11797,0,0,0,0,0
3570,0,1,1,1,1
1861,0,0,0,0,0
1482,0,1,1,1,1
10794,0,1,1,1,1
12388,-1,-3,-3,-3,-3
11265,0,1,1,1,1
11049,-3,-3,-3,-3,-3
11677,0,1,1,1,1
9367,0,0,0,0,0
11195,-2,-2,-3,-2,-2
8762,0,0,0,0,0
10263,-1,-2,-1,-2,-2
10391,0,1,1,1,1
12401,1,1,-2,-2,1
10571,-2,-2,-2,-3,-2
12163,-2,-2,-3,-3,-2
12018,2,2,1,1,2
12133,-3,-4,-4,-4,-4
11918,-2,-3,-3,-3,-3
12264,0,1,1,1,1
4471,0,0,0,0,0
8553,-2,-2,-3,-3,-2
9034,0,0,0,0,0
11812,0,0,0,0,0
11533,0,0,1,1,0
12370,-2,1,1,-2,1
8770,0,0,0,0,0
9250,-2,-1,-2,-2,-1
10827,0,-1,-2,-1,-1
9687,0,0,1,0,0
9301,-1,1,1,1,1
9190,0,1,1,1,1
10663,-2,-3,-4,-3,-3
9590,0,0,1,0,0
11654,-2,-3,-3,-3,-3
12909,0,1,1,1,1
10229,0,0,0,-2,0
9187,1,1,1,1,1
10649,0,-1,0,0,-1
10545,-3,-3,-4,-4,-3
12928,-1,-4,-4,-3,-4
12953,1,1,1,1,1
9016,-1,-2,-2,-1,-2
9706,0,1,1,1,1
11336,0,1,1,1,1
8930,-2,-3,-3,-3,-3
9054,0,-1,-1,-1,-1
8588,-4,-4,-4,-4,-4
10468,0,1,1,1,1
12369,-1,-2,-2,-2,-2
8843,-2,-4,-3,-4,-4
12984,0,0,0,0,0
8558,0,1,1,1,1
11755,0,1,1,1,1
11758,0,1,0,1,1
12476,1,1,1,1,1
12065,-3,-4,-3,-3,-4
9649,0,0,-1,-1,0
12584,0,-1,0,0,-1
11145,-1,1,1,1,1
9222,0,0,0,0,0
10887,0,0,1,1,0
12350,0,0,0,0,0
8965,-4,-3,-4,-4,-3
12448,-2,-3,-3,-3,-3
9460,-2,-2,-3,-2,-2
10662,1,2,1,1,2
11840,0,0,0,1,0
12884,-1,1,0,1,1
12893,-2,-2,-2,-2,-2
12142,0,-1,-1,-1,-1
9245,0,0,0,0,0
4497,0,0,0,0,0
12607,-4,-2,-2,-4,-2
11326,1,1,1,1,1
12283,0,1,0,1,1
12285,2,-2,1,1,-2
12336,0,0,0,0,0
12850,0,0,1,0,0
10853,0,0,0,0,0
9936,0,1,1,1,1
9934,-2,-3,-3,-3,-3
10226,-3,-4,-4,-3,-4
10660,-2,-3,-3,-3,-3
12517,-4,0,-4,-4,0
11000,0,0,0,0,0
11934,-2,1,0,-2,1
10726,0,0,0,-1,0
8747,0,-1,0,1,-1
13190,-2,-3,-2,-3,-3
12203,2,1,1,1,1
11510,0,-1,-1,-1,-1
13138,-3,-4,-4,-3,-4
11526,0,0,0,0,0
8622,0,0,0,1,0
9403,0,0,0,0,0
10543,1,1,1,1,1
4317,-1,-2,-2,-2,-2
9818,0,1,0,0,1
4690,-3,-4,-4,-4,-4
9646,0,1,1,1,1
10869,0,1,1,1,1
9499,0,-1,-1,-1,-1
9841,0,1,1,1,1
12994,-2,-3,-2,-2,-3
9292,0,1,1,1,1
10146,0,0,0,0,0
9279,-2,-1,-2,-2,-1
4532,-2,-2,-2,-2,-2
10964,1,1,1,1,1
4352,0,0,0,-1,0
10903,0,1,1,1,1
9013,1,1,1,1,1
12421,-2,-3,0,-2,-3
12506,0,-2,0,0,-2
10142,1,2,1,1,2
12720,0,0,0,-1,0
12809,0,0,1,0,0
11837,2,-1,1,1,-1
10786,0,0,-1,-1,0
9739,-2,-3,-2,-3,-3
12385,-1,-3,-2,-2,-3
13174,0,1,1,1,1
10199,0,0,0,0,0
13032,0,0,1,1,0
10706,0,0,0,0,0
8827,0,1,1,-1,1
11066,0,1,1,1,1
9986,-1,-1,-2,-1,-1
9593,0,0,0,0,0
11408,-2,-4,-3,-3,-4
9816,-4,-4,-4,-4,-4
11459,1,1,1,1,1
11891,0,1,1,1,1
9067,0,0,0,-1,0
11857,1,1,1,1,1
12537,-1,-1,-2,-1,-1
11201,0,0,-1,-1,0
9161,0,1,1,1,1
11068,0,1,0,1,1
10010,0,0,0,0,0
4451,-2,-2,-2,-1,-2
11824,0,0,0,0,0
11943,-1,1,1,1,1
9991,-2,-3,-2,-2,-3
4371,-1,-2,-2,-1,-2
11555,0,1,1,1,1
8823,0,-3,-3,-3,-3
12863,0,1,1,1,1
11864,0,1,1,1,1
13057,0,-3,-1,-2,-3
10018,0,-2,-2,-2,-2
12590,-3,0,0,-3,0
8726,0,1,1,0,1
